Test model,Test set,Total Kalman MSe,Total NN MSE
RNN,MNST 0,6.678725155831527,1.1716834731530743
RNN,MNST 1,0.7775477652308352,1.0459340865357858
RNN,MNST 2,0.7699390060351275,0.39199518715433057
RNN,MNST 3,1.6191717375543255,0.34340169973246976
RNN,MNST 4,0.7782068874925788,0.3117208788822031
RNN,MNST 5,0.7424093781164792,0.7382263650235015
