Test model,Test set,Kalman Filter MAE Y,NN MAE Y,EKF MAE Y,UKF MAE Y
RNN,Intel 2,0.020722706986131243,1.6762316381285236,0.02743387473582674,0.0391436046330828
RNN,FB Campus 1,0.06520206950673452,1.5970186385958913,0.026208617351803815,0.3675004170738475
RNN,FB Campus 2,0.08536952805854359,1.4601606999797772,0.007322476259176188,0.24095579751438664
RNN,Intel 1,0.013656469635064693,1.6404101928475174,0.041748910621549284,0.07726555972328668
