noisy_motion_x,noisy_motion_y,noisy_motion_theta,noisy_motion_cov_xx,noisy_motion_cov_xy,noisy_motion_cov_xtheta,noisy_motion_cov_yy,noisy_motion_cov_ytheta,noisy_motion_cov_thetatheta,kalman_prediction_x,kalman_prediction_y,kalman_prediction_theta,lidar_x,lidar_y,lidar_theta,lidar_cov_xx,lidar_cov_xy,lidar_cov_xtheta,lidar_cov_yy,lidar_cov_ytheta,lidar_cov_thetatheta,ground_truth_x,ground_truth_y,ground_truth_theta,alpha
-2.1198036392888753e-06,9.133560524787754e-06,7.131490565370768e-05,2.3777393248769485e-11,-1.0244922271640533e-10,-7.999242934708661e-10,4.4142114963285906e-10,3.4466194342996914e-09,2.691123057729783e-08,-0.0008049613679759204,0.004049012903124094,0.03134501725435257,-0.001496970914117407,0.004519222555002212,0.031422406564959496,1.6831818356877193e-06,2.7405661739976495e-08,0.0,5.666051379193959e-07,0.0,5.4652645076203044e-08,-0.0008701012659745782,-0.0008701012659745782,0.03420373107988924,8
-5.208738912187982e-06,2.2434209313360043e-05,0.0001751694071572274,2.3807454271884687e-11,-1.0253950466498907e-10,-8.006426077677986e-10,4.416410570584617e-10,3.448394458871462e-09,2.6925542684352877e-08,-0.0008085176814347506,0.0040643298998475075,0.03146461397409439,-0.0014361008110343604,0.004715555100592867,0.0313453409952199,1.5166139064604067e-06,-1.8254707745413157e-09,0.0,5.435196612779691e-07,0.0,5.349793141817827e-08,-0.0008713210880589078,-0.0008713210880589078,0.03424475359074922,8
-1.3739248743149801e-06,5.915277597523527e-06,4.6188080887077376e-05,2.383755345891636e-11,-1.0262985600251184e-10,-8.013616437096971e-10,4.418611032619424e-10,3.4501708157108624e-09,2.693986367319212e-08,-0.000809878867585212,0.004070190712809563,0.0315103754401207,-0.0020858321301504765,0.004242424913860887,0.03150599937485966,1.7250895325560123e-06,1.1149944967314696e-08,0.0,5.454659799397632e-07,0.0,5.449389561817952e-08,-0.0008725416809866708,-0.0008725416809866708,0.034285787009766935,8
2.186601022913237e-06,-9.410558959643822e-06,-7.348141662077978e-05,2.386768907514103e-11,-1.0272029754565537e-10,-8.020812347631079e-10,4.4208128824330117e-10,3.4519480607286823e-09,2.6954193543815563e-08,-0.0008092393400147557,0.004067438188940287,0.03148888051509857,-0.002876682939434154,0.0035208850630026743,0.03160092755169865,1.6957018260654877e-06,-2.4690812949756946e-08,0.0,5.518183456842962e-07,0.0,5.530467817038698e-08,-0.000873763045227979,-0.000873763045227979,0.03432683134102796,8
-1.290515456275898e-06,5.551916729018558e-06,4.335232370067388e-05,2.389786285528217e-11,-1.0281081541663184e-10,-8.028015474614847e-10,4.423015842469624e-10,3.453726415969527e-09,2.696853407258004e-08,-0.0008105273591354489,0.004072979558259249,0.03153214976191521,-0.0014848888370676966,0.0052428559477043085,0.031515723244594514,1.5554585388599662e-06,-1.6658830759297416e-08,0.0,5.459668273033458e-07,0.0,5.700130856212127e-08,-0.0008749851812532832,-0.0008749851812532832,0.03436788658862073,8
6.149721230030991e-06,-2.6446547053637914e-05,-0.00020651219529099762,2.3928074799339782e-11,-1.0290140961544125e-10,-8.035225262936763e-10,4.4252201902850175e-10,3.455505659388791e-09,2.6982881706771877e-08,-0.0008065854199230671,0.004056027624756098,0.03139977902173996,-0.0016706001516905017,0.004608642275687584,0.03155838070489398,1.5717329233666533e-06,-1.0972751596227681e-08,0.0,5.822303705826926e-07,0.0,6.073808123119306e-08,-0.0008762080895334057,-0.0008762080895334057,0.03440895275663637,8
3.364063445587817e-07,-1.4461442106039613e-06,-1.1292644558125176e-05,2.395832317259039e-11,-1.0299208708097751e-10,-8.042441157485314e-10,4.4274259258791915e-10,3.457286235075685e-09,2.699723999910475e-08,-0.0008083687862381339,0.004063693806529045,0.031459640711545944,0.001194254294291916,0.0055087145482979475,0.03159318582419754,1.41416114729509e-06,2.045792690807957e-08,0.0,5.519659111996589e-07,0.0,5.6873417975111806e-08,-0.0008774317705394661,-0.0008774317705394661,0.034450029849168895,8
-4.037862709083129e-06,1.7351334463455714e-05,0.00013549529830925167,2.398860970975747e-11,-1.0308284781324062e-10,-8.049664268483525e-10,4.42963277169639e-10,3.4590679209856035e-09,2.701160717322182e-08,-0.0008132989751175046,0.004084879532456398,0.03162508085370064,-0.0002058767110550766,0.002954703189627584,0.03170708852529132,1.5055359199322993e-06,2.3246533586984697e-08,0.0,5.443471309263259e-07,0.0,5.900652055856881e-08,-0.0008786562247429458,-0.0008786562247429458,0.034491117870315356,8
-6.707123247906566e-06,2.8810549338231795e-05,0.0002249832614324987,2.4018932676117544e-11,-1.0317368487333667e-10,-8.056893485708372e-10,4.4318410052923696e-10,3.4608504950739416e-09,2.7025985005479924e-08,-0.0008203047327697277,0.004114972893148661,0.03186007961630821,-0.0014685663668397853,0.0043632413339113095,0.03187797358632218,1.7214847503055353e-06,-4.2459493698743245e-08,0.0,5.725310074922163e-07,0.0,5.815866899183675e-08,-0.0008798814526157364,-0.0008798814526157364,0.03453221682417742,8
-3.058869424421573e-06,1.3134395885572303e-05,0.00010256899986416101,2.4049295541117566e-11,-1.0326460520015956e-10,-8.064129364271366e-10,4.4340503491113736e-10,3.4626344014299093e-09,2.7040369943165388e-08,-0.0008231897372752428,0.0041273608803749084,0.03195682168006897,-0.0015007043931224845,0.004512060595059194,0.03193879205868672,1.5065813840919873e-06,1.1085791840059755e-08,0.0,5.693991624866612e-07,0.0,5.690805693348011e-08,-0.0008811074546300132,-0.0008811074546300132,0.034573326714857876,8
