noisy_motion_x,noisy_motion_y,noisy_motion_theta,noisy_motion_cov_xx,noisy_motion_cov_xy,noisy_motion_cov_xtheta,noisy_motion_cov_yy,noisy_motion_cov_ytheta,noisy_motion_cov_thetatheta,kalman_prediction_x,kalman_prediction_y,kalman_prediction_theta,lidar_x,lidar_y,lidar_theta,lidar_cov_xx,lidar_cov_xy,lidar_cov_xtheta,lidar_cov_yy,lidar_cov_ytheta,lidar_cov_thetatheta,ground_truth_x,ground_truth_y,ground_truth_theta,alpha
-2.11980363928888E-06,9.13356052478775E-06,7.13149056537077E-05,2.37773932487695E-11,-1.02449222716405E-10,-7.99924293470866E-10,4.41421149632859E-10,3.44661943429969E-09,2.69112305772978E-08,-0.000804961367976,0.004049012903124,0.031345017254353,-0.001496970914117,0.004519222555002,0.03142240656496,1.68318183568772E-06,2.74056617399765E-08,0,5.66605137919396E-07,0,5.4652645076203E-08,-0.000870101265975,0.004422063297407,0.034203731079889,8
-5.20873891218798E-06,2.243420931336E-05,0.000175169407157,2.38074542718847E-11,-1.02539504664989E-10,-8.00642607767799E-10,4.41641057058462E-10,3.44839445887146E-09,2.69255426843529E-08,-0.000808517681435,0.004064329899848,0.031464613974094,-0.001436100811034,0.004715555100593,0.03134534099522,1.51661390646041E-06,-1.82547077454132E-09,0,5.43519661277969E-07,0,5.34979314181783E-08,-0.000871321088059,0.004427317111864,0.034244753590749,8
-1.37392487431498E-06,5.91527759752353E-06,4.61880808870774E-05,2.38375534589164E-11,-1.02629856002512E-10,-8.01361643709697E-10,4.41861103261942E-10,3.45017081571086E-09,2.69398636731921E-08,-0.000809878867585,0.00407019071281,0.031510375440121,-0.00208583213015,0.004242424913861,0.03150599937486,1.72508953255601E-06,1.11499449673147E-08,0,5.45465979939763E-07,0,5.44938956181795E-08,-0.000872541680987,0.004432572235036,0.034285787009767,8
2.18660102291324E-06,-9.41055895964382E-06,-7.34814166207798E-05,2.3867689075141E-11,-1.02720297545655E-10,-8.02081234763108E-10,4.42081288243301E-10,3.45194806072868E-09,2.69541935438156E-08,-0.000809239340015,0.00406743818894,0.031488880515099,-0.002876682939434,0.003520885063003,0.031600927551699,1.69570182606549E-06,-2.46908129497569E-08,0,5.51818345684296E-07,0,5.5304678170387E-08,-0.000873763045228,0.004437828667355,0.034326831341028,8
-1.2905154562759E-06,5.55191672901856E-06,4.33523237006739E-05,2.38978628552822E-11,-1.02810815416632E-10,-8.02801547461485E-10,4.42301584246962E-10,3.45372641596953E-09,2.696853407258E-08,-0.000810527359135,0.004072979558259,0.031532149761915,-0.001484888837068,0.005242855947704,0.031515723244595,1.55545853885997E-06,-1.66588307592974E-08,0,5.45966827303346E-07,0,5.70013085621213E-08,-0.000874985181253,0.004443086409251,0.034367886588621,8
6.14972123003099E-06,-2.64465470536379E-05,-0.000206512195291,2.39280747993398E-11,-1.02901409615441E-10,-8.03522526293676E-10,4.42522019028502E-10,3.45550565938879E-09,2.69828817067719E-08,-0.000806585419923,0.004056027624756,0.03139977902174,-0.001670600151691,0.004608642275688,0.031558380704894,1.57173292336665E-06,-1.09727515962277E-08,0,5.82230370582693E-07,0,6.07380812311931E-08,-0.000876208089533,0.004448345461156,0.034408952756636,8
3.36406344558782E-07,-1.44614421060396E-06,-1.12926445581252E-05,2.39583231725904E-11,-1.02992087080978E-10,-8.04244115748531E-10,4.42742592587919E-10,3.45728623507568E-09,2.69972399991047E-08,-0.000808368786238,0.004063693806529,0.031459640711546,0.001194254294292,0.005508714548298,0.031593185824198,1.41416114729509E-06,2.04579269080796E-08,0,5.51965911199659E-07,0,5.68734179751118E-08,-0.000877431770539,0.004453605823501,0.034450029849169,8
-4.03786270908313E-06,1.73513344634557E-05,0.000135495298309,2.39886097097575E-11,-1.03082847813241E-10,-8.04966426848353E-10,4.42963277169639E-10,3.4590679209856E-09,2.70116071732218E-08,-0.000813298975118,0.004084879532456,0.031625080853701,-0.000205876711055,0.002954703189628,0.031707088525291,1.5055359199323E-06,2.32465335869847E-08,0,5.44347130926326E-07,0,5.90065205585688E-08,-0.000878656224743,0.004458867496719,0.034491117870315,8
-6.70712324790657E-06,2.88105493382318E-05,0.000224983261432,2.40189326761175E-11,-1.03173684873337E-10,-8.05689348570837E-10,4.43184100529237E-10,3.46085049507394E-09,2.70259850054799E-08,-0.00082030473277,0.004114972893149,0.031860079616308,-0.00146856636684,0.004363241333911,0.031877973586322,1.72148475030554E-06,-4.24594936987432E-08,0,5.72531007492216E-07,0,5.81586689918368E-08,-0.000879881452616,0.004464130481241,0.034532216824178,8
-3.05886942442157E-06,1.31343958855723E-05,0.000102568999864,2.40492955411176E-11,-1.0326460520016E-10,-8.06412936427137E-10,4.43405034911137E-10,3.46263440142991E-09,2.70403699431654E-08,-0.000823189737275,0.004127360880375,0.031956821680069,-0.001500704393122,0.004512060595059,0.031938792058687,1.50658138409199E-06,1.10857918400598E-08,0,5.69399162486661E-07,0,5.69080569334801E-08,-0.00088110745463,0.004469394777501,0.034573326714858,8
