noisy_motion_x,noisy_motion_y,noisy_motion_theta,noisy_motion_cov_xx,noisy_motion_cov_xy,noisy_motion_cov_xtheta,noisy_motion_cov_yy,noisy_motion_cov_ytheta,noisy_motion_cov_thetatheta,kalman_prediction_x,kalman_prediction_y,kalman_prediction_theta,lidar_x,lidar_y,lidar_theta,lidar_cov_xx,lidar_cov_xy,lidar_cov_xtheta,lidar_cov_yy,lidar_cov_ytheta,lidar_cov_thetatheta,ground_truth_x,ground_truth_y,ground_truth_theta,alpha
-1.8361618003837066e-06,1.1066353181377053e-05,8.530120976502076e-05,8.273240599543374e-12,-4.986194096501251e-11,-3.843437512696113e-10,3.0051261479258073e-10,2.3163988505103816e-09,1.7855169787139857e-08,-4.5521501306211576e-05,0.00027704707463271916,0.0021344132255762815,-0.0025282489193437993,-0.0027796035980665853,0.0023075051883572474,2.230060999863781e-06,3.6039489259565016e-07,0.0,3.581386181394919e-06,0.0,3.6836489414326934e-08,-8.875603848298476e-05,-8.875603848298476e-05,0.003760379998225154,8
8.146157597366255e-07,-4.907343736704206e-06,-3.782739076996222e-05,8.284436504857329e-12,-4.990645396940607e-11,-3.846951923680564e-10,3.006425941531887e-10,2.3174508978485164e-09,1.786366610190271e-08,-4.617040031007491e-05,0.00028095609741285443,0.0021645454689860344,-0.004272725516863661,-0.006022309647183807,0.002250428254278652,2.317836106158211e-06,4.6947778287176334e-07,0.0,4.008146333944751e-06,0.0,4.3473768585045036e-08,-8.947560589124028e-05,-8.947560589124028e-05,0.0037937937543443935,8
2.6682172915570845e-07,-1.6066290982053033e-06,-1.2384686669975054e-05,8.295645420597353e-12,-4.995100513771611e-11,-3.8504693877783325e-10,3.0077260126937233e-10,2.318503389275861e-09,1.787216596937924e-08,-4.648013418773189e-05,0.00028282112907618284,0.00217892206273973,-0.006535699781018749,-0.002554725642302593,0.0024668334411079656,2.1690154881071066e-06,2.216967516233126e-07,0.0,3.5059822494076798e-06,0.0,3.8336509078362724e-08,-9.01956599459056e-05,-9.01956599459056e-05,0.0038272154593284586,8
-4.1285447878181e-06,2.484799551893957e-05,0.00019154473557136953,8.306869081486923e-12,-4.9995591000495665e-11,-3.853989904989419e-10,3.009026916522828e-10,2.3195563247924156e-09,1.7880671165926287e-08,-5.1264327339595184e-05,0.00031161520746536553,0.002400885568931699,-0.0014314740115858454,-0.0020998131478422704,0.002657370304520684,2.1281966837705113e-06,3.671548540751246e-07,0.0,3.2825337257236242e-06,0.0,3.762879430269095e-08,-9.091620092954115e-05,-9.091620092954115e-05,0.003860645115653475,8
2.913300249929307e-06,-1.752588286763057e-05,-0.00013510399730876088,8.3181066201643e-12,-5.004021502719169e-11,-3.857513475313823e-10,3.0103283754634447e-10,2.320609926442785e-09,1.7889179915187015e-08,-5.105198943056166e-05,0.00031033781124278903,0.0023910384625196457,-0.006116198743495643,-0.0007502235864576879,0.002685528285580678,2.162976215913659e-06,2.164657928460656e-07,0.0,3.5475122786010616e-06,0.0,4.273847409308473e-08,-9.16372291249138e-05,-9.16372291249138e-05,0.0038940827257975086,8
-5.461050477606477e-06,3.283758633187972e-05,0.0002531447680667043,8.329358036629486e-12,-5.008487721780419e-11,-3.861040098751545e-10,3.01163066707133e-10,2.321664194226969e-09,1.789769399351826e-08,-5.6787779612932354e-05,0.00034482742194086313,0.002656918717548251,-0.0046879514400648,0.0018026649170071166,0.002897391607743217,2.082795390379033e-06,3.2886933354348e-07,0.0,2.9637910756719066e-06,0.0,3.75696949106441e-08,-9.235874481494568e-05,-9.235874481494568e-05,0.00392752829223996,8
-3.95968345401343e-06,2.3798847905709408e-05,0.00018346915021538734,8.340624198244218e-12,-5.012957757233316e-11,-3.8645697753025843e-10,3.0129332362349714e-10,2.322718906100363e-09,1.7906213400920024e-08,-6.118298188084736e-05,0.00037124386290088296,0.0028605672996491194,-0.003144647433838868,0.0008467155008660204,0.003083529805121842,2.265391231048852e-06,3.7289674992280197e-07,0.0,3.7538575270446017e-06,0.0,4.5333951703696584e-08,-9.308074828278529e-05,-9.308074828278529e-05,0.003960981817462939,8
-1.3512778878066456e-06,8.117841389321256e-06,6.25831016805023e-05,8.351904237646757e-12,-5.017431262133165e-11,-3.8681025049669415e-10,3.0142366380658814e-10,2.3237740620629666e-09,1.7914736361035466e-08,-6.353292701533064e-05,0.0003853612288367003,0.002969402587041259,-0.003745939750498209,0.0015181739180782719,0.003219203489777141,2.2389472178474534e-06,6.483578545157798e-07,0.0,3.99310511056683e-06,0.0,4.194296820969612e-08,-9.38032398117095e-05,-9.38032398117095e-05,0.003994443303947129,8
1.0232148270006292e-05,-6.14417003816925e-05,-0.0004736845148727298,8.363198154837104e-12,-5.021908583424661e-11,-3.8716382877446165e-10,3.0155405950083036e-10,2.324829884159385e-09,1.7923266426578266e-08,-5.801096631330438e-05,0.0003522031183820218,0.0027137703727930784,-0.00341912936654816,0.0004931561838502182,0.0030683631765388267,2.3636214336875128e-06,6.304459816419694e-07,0.0,3.692403424793156e-06,0.0,4.247448615046778e-08,-9.45262196851808e-05,-9.45262196851808e-05,0.0040279127541755005,8
-3.8476832742162514e-06,2.30938421736937e-05,0.0001780457387212664,8.374506817176997e-12,-5.0263893741631094e-11,-3.875177123635609e-10,3.0168453846179943e-10,2.3258861503450134e-09,1.7931798268477905e-08,-6.301013490883633e-05,0.0003822081780526787,0.0029450992587953806,-0.004707809812355947,-0.0013123555045404121,0.003096429011071886,2.1587413812085288e-06,5.2892295343554e-07,0.0,3.3639125831541605e-06,0.0,3.888060362555734e-08,-9.524968818686204e-05,-9.524968818686204e-05,0.004061390170633718,8
-5.074062983112526e-07,3.0440617138083326e-06,2.346920155105181e-05,8.385829357304697e-12,-5.0308743282379e-11,-3.8787187350841634e-10,3.0181507293391974e-10,2.3269430826644566e-09,1.7940335439448063e-08,-6.43964231130667e-05,0.00039052488864399493,0.003009219653904438,-0.004258363201248401,0.001721955145217685,0.003271544533844289,2.2588512820220785e-06,6.850211207165557e-07,0.0,3.4204374514956726e-06,0.0,3.901299905351152e-08,-9.597364560062077e-05,-9.597364560062077e-05,0.004094875555808794,8
-7.246516702252848e-07,4.3453760554257315e-06,3.350284168845974e-05,8.397166642581944e-12,-5.035362751759642e-11,-3.8822636772017916e-10,3.0194566291719127e-10,2.3280004590731096e-09,1.794887793948874e-08,-6.672048766631633e-05,0.0004044611705467105,0.003116668201982975,-0.007060895080654342,0.0007871415631889044,0.0031622682531724064,2.2311739940050757e-06,6.158305154713162e-07,0.0,3.311400632810546e-06,0.0,3.8808000368817375e-08,-9.6698092210485e-05,-9.6698092210485e-05,0.004128368912188935,8
2.5134170300589176e-06,-1.5064792023622431e-05,-0.00011615204130066559,8.40851693828526e-12,-5.039854991673032e-11,-3.8858116724327374e-10,3.0207630841161404e-10,2.3290582795709724e-09,1.7957425768599933e-08,-6.535898864967749e-05,0.00039630066021345556,0.003053749445825815,-0.004231876543012096,0.00018496744504622415,0.003015891469195653,2.137003548341454e-06,4.3363311874600186e-07,0.0,3.226492935937131e-06,0.0,4.07080058550946e-08,-9.742302830069265e-05,-9.742302830069265e-05,0.004161870242265382,8
3.48503505165354e-07,-2.087883785861777e-06,-1.609828723303508e-05,8.41988284649986e-12,-5.0443510479780684e-11,-3.889362720777001e-10,3.0220700941718803e-10,2.33011676620265e-09,1.7965977150424806e-08,-6.488497456302866e-05,0.0003934608830604702,0.0030318538192659616,-0.0034042237779418408,0.0015548419588126863,0.00323927833607201,2.3038280687615043e-06,5.86809392189025e-07,0.0,4.117567641515052e-06,0.0,4.3583508357869505e-08,-9.814845415565421e-05,-9.814845415565421e-05,0.004195379548529705,8
-7.3386227086302824e-06,4.39455070591066e-05,0.00033884186996147037,8.431262632502268e-12,-5.048850573730057e-11,-3.892916822234582e-10,3.023377936894889e-10,2.3311759189681425e-09,1.7974533861320197e-08,-7.14196648914367e-05,0.00043259223457425833,0.0033335762564092875,-0.002727989992753005,-0.001261602123532643,0.0031988201580289742,2.1583775833278196e-06,4.7397418256878154e-07,0.0,3.6433445984584978e-06,0.0,4.536929765208697e-08,-9.88743700599511e-05,-9.88743700599511e-05,0.004228896833474844,8
-1.4697568531119032e-06,8.79723211255623e-06,6.783254502806813e-05,8.442656296292483e-12,-5.053353915873693e-11,-3.896473976805481e-10,3.0246863347294095e-10,2.3322355158228447e-09,1.7983095901286106e-08,-7.163906411733478e-05,0.00043390539940446615,0.003343701595440507,-0.004147052842673152,-0.0014060789121130375,0.0029413485712470448,2.2980002540862188e-06,2.420904081645858e-07,0.0,3.917701178579591e-06,0.0,5.194939589614478e-08,-9.960077629832947e-05,-9.960077629832947e-05,0.004262422099594178,8
