Test model,Test set,Kalman MSE X,NN MSE X,EKF MSE X,UKF MSE X
LSTM_ln,Intel 1,0.04418899789805684,0.08626995251937274,0.038964022108493535,0.020762705824341594
LSTM_ln,FB Campus 1,0.03480047700718639,0.1176568962264866,0.02050458721794244,0.33769249749094804
LSTM_ln,FB Campus 2,0.08371966868195087,0.2366561223802409,0.026513046556976106,0.25670266206833725
LSTM_ln,Intel 2,0.03294535384391135,0.10347472778710466,0.03932257656386097,0.029512610841428484
