Test model,Test set,Kalman MSE Y,NN MSE Y,EKF MSE Y,UKF MSE Y
LSTM_ln,Intel 1,0.021086894147709867,0.036439842722199155,0.026124992732741416,0.03848989351824572
LSTM_ln,FB Campus 1,0.06549832098448614,0.09637776928463089,0.025453875325951846,0.35743954485643775
LSTM_ln,FB Campus 2,0.08144536800298355,0.1405488100883021,0.007485190433103411,0.2364664038087604
LSTM_ln,Intel 2,0.013640991274983935,0.055175493531038046,0.04148770734996809,0.07701681527030883
