Test model,Test set,Kalman Filter MAE Theta,NN MAE Theta,EKF MAE Theta,UKF MAE Theta
LSTM,Intel 2,0.34145661210290523,0.6907623401616546,0.41996355981297523,0.42045155978674786
LSTM,FB Campus 1,0.2661671193177321,0.7341125861161097,0.05044959908409288,0.07090111964362372
LSTM,FB Campus 2,0.1664470284471865,0.854817165485027,0.8225874608639193,0.18719963297174705
LSTM,Intel 1,0.18232270141403564,0.4025095298051241,0.21326386896438668,0.2080558240443128
