Test model,Test set,Total Kalman MSe,Total NN MSE,Total EKF MSE,Total UKF MSE,Kalman MSE X,NN MSE X,EKF MSE X,UKF MSE X,Kalman MSE Y,NN MSE Y,EKF MSE Y,UKF MSE Y,Kalman MSE Theta,NN MSE Theta,EKF MSE Theta,UKF MSE Theta
LSTM,data/2D/evaluation_data/intel_alpha_8_run_2_merged.csv,0.04414543638954304,0.03807530264201706,0.03773169273749839,0.018972432718270343,0.04414543638954304,0.03807530264201706,0.03773169273749839,0.018972432718270343,0.021452933278523354,0.040964957344027865,0.025917927102360926,0.03884523379712412,0.34145661210290523,0.48626232792594515,0.41996355981297523,0.42045155978674786
LSTM,data/2D/evaluation_data/fbcampus_alpha_4_run_2_merged.csv,0.033132659863987834,0.07449925782967527,0.020228996144065214,0.34008262266126915,0.033132659863987834,0.07449925782967527,0.020228996144065214,0.34008262266126915,0.06427949822750345,0.11600889824506376,0.025454675603654206,0.3566723641953249,0.2661671193177321,0.10145232549569828,0.05044959908409288,0.07090111964362372
LSTM,data/2D/evaluation_data/fbcampus_alpha_8_run_2_merged.csv,0.07621627252435961,0.21085150292179625,0.02602321387755348,0.2625986560818654,0.07621627252435961,0.21085150292179625,0.02602321387755348,0.2625986560818654,0.07910566740462556,0.17012734607508737,0.007638658013418514,0.23161130976058675,0.1664470284471865,0.5833490495587943,0.8225874608639193,0.18719963297174705
LSTM,data/2D/evaluation_data/intel_alpha_4_run_2_merged.csv,0.032647277911940074,0.059236475586039866,0.03938560110762803,0.030092165452275395,0.032647277911940074,0.059236475586039866,0.03938560110762803,0.030092165452275395,0.013596176969076607,0.05453050927069,0.041925763763915554,0.07876171513563988,0.18232270141403564,0.11814502814584027,0.21326386896438668,0.2080558240443128
