Test model,Test set,Kalman Filter MAE X,NN MAE X,EKF MAE X,UKF MAE X
LSTM,Intel 2,0.04414543638954304,2.322142203827822,0.03773169273749839,0.018972432718270343
LSTM,FB Campus 1,0.033132659863987834,1.5232039706627978,0.020228996144065214,0.34008262266126915
LSTM,FB Campus 2,0.07621627252435961,2.4536529038732677,0.02602321387755348,0.2625986560818654
LSTM,Intel 1,0.032647277911940074,2.490381221420901,0.03938560110762803,0.030092165452275395
