noisy_motion_x,noisy_motion_y,noisy_motion_theta,noisy_motion_cov_xx,noisy_motion_cov_xy,noisy_motion_cov_xtheta,noisy_motion_cov_yy,noisy_motion_cov_ytheta,noisy_motion_cov_thetatheta,kalman_prediction_x,kalman_prediction_y,kalman_prediction_theta,lidar_x,lidar_y,lidar_theta,lidar_cov_xx,lidar_cov_xy,lidar_cov_xtheta,lidar_cov_yy,lidar_cov_ytheta,lidar_cov_thetatheta,ground_truth_x,ground_truth_y,ground_truth_theta,alpha,ekf_pos_x,ekf_pos_y,ekf_pos_theta,ukf_pos_x,ukf_pos_y,ukf_pos_theta
-2.44980237766867E-05,1.14854929051944E-05,0.000665430852678,1.10952536047648E-09,-5.2018250817909E-10,-3.01376275047005E-08,2.43878889305549E-10,1.41295251054885E-08,8.18617309050751E-07,-0.000261168344878,0.000597564445343,0.008166462182999,0.068431485357951,-0.290786154679248,0.008282293654618,1.6102447943922E-06,4.13917945252251E-07,0,1.81882228389441E-06,0,2.02747134636638E-08,-0.001866894312226,0.005960562585556,0.064426442723448,4,-2.64047265083365E-07,-1.39343915552463E-07,0.064976515973749,0.001042216082298,-0.001392553191001,0.00042526695318
2.21441805479117E-05,-1.02616168078384E-05,-0.000600529077929,1.12662801310393E-09,-5.2207965728357E-10,-3.05530818422994E-08,2.41931835676112E-10,1.4158304750822E-08,8.28570591693278E-07,-0.000256878440268,0.0005955764791,0.008050124160945,0.069171757299014,-0.291742901190788,0.008211028970347,1.700697907836E-06,5.07520041992393E-07,0,1.88051478744455E-06,0,2.2422955936463E-08,-0.001875285632262,0.005964451125066,0.064654007354701,4,-4.78329619235909E-07,-2.52965991891106E-07,0.065214343051141,-0.000279585164661,-0.001094797308902,0.000651812952768
1.23521831483231E-05,-5.6573303481855E-06,-0.000334439682774,1.14398102102342E-09,-5.23946108721418E-10,-3.09736876147326E-08,2.39968600546092E-10,1.41860247993009E-08,8.3862346400565E-07,-0.000258038577158,0.000596107856836,0.008081535808742,0.06853822993463,-0.291884657306204,0.0082390548555,1.63816162057628E-06,4.9057484829973E-07,0,2.11816313822055E-06,0,2.44950388861298E-08,-0.001883741329406,0.005968323855007,0.064882948319749,4,-7.48815933736001E-07,-3.97126930357419E-07,0.065447811355798,-0.000578580785235,-0.0042281624996,0.000888997098252
-2.01685852516675E-05,9.12958603294101E-06,0.000545187795069,1.16155474128021E-09,-5.25793630856697E-10,-3.13986063815719E-08,2.38007696884424E-10,1.42130085478698E-08,8.48752449655876E-07,-0.000257211184362,0.000595733290538,0.00805916916579,0.068178744046479,-0.29410375334393,0.008175322023349,1.79438450231828E-06,4.50436004939547E-07,0,2.2307608560368E-06,0,2.53826843987781E-08,-0.00189226172685,0.005972180729442,0.065113267726965,4,-1.08016449344945E-06,-5.73925600913266E-07,0.065682677297723,4.09954363073953E-05,0.000336113456343,0.001122946007504
-1.39253552333685E-05,6.22975494479761E-06,0.000375811971026,1.17934517707141E-09,-5.27600962918484E-10,-3.18276960342701E-08,2.36031638678469E-10,1.42386840096265E-08,8.58953171700705E-07,-0.000256460742094,0.00059539754875,0.008038916625083,0.067918309455953,-0.2913312546881,0.008160933766774,1.82483563548885E-06,4.6814068355161E-07,0,2.19563935388578E-06,0,2.53592222776433E-08,-0.001900847125675,0.005976021559806,0.065344967044082,4,-1.47473063729224E-06,-7.85180723821894E-07,0.065920121835534,-0.001026887738447,-0.006425199472716,0.001358311194551
-9.70932524069212E-06,4.29266492574243E-06,0.000261603738181,1.19738596815466E-09,-5.29385535408267E-10,-3.22618305403921E-08,2.34050751002357E-10,1.42635281363823E-08,8.6924836750768E-07,-0.000247503136052,0.000591437274124,0.0077975676395,0.066795283036026,-0.295248528188691,0.007946970291321,1.91520689440949E-06,6.3336796074509E-07,0,2.58477211900754E-06,0,3.27584039894191E-08,-0.001909497941827,0.005979846239085,0.065578050771546,4,-1.90481656276886E-06,-1.0158891076243E-06,0.066145938318267,0.001510915705081,-0.004045978031586,0.001595082595823
-6.45123800495639E-05,2.81868833553744E-05,0.00173534383066,1.21562748756077E-09,-5.3113452525011E-10,-3.26996421051717E-08,2.32064409355637E-10,1.42871963149105E-08,8.79600577263773E-07,-0.000258784275502,0.000596366240643,0.008101023733616,0.068081977154278,-0.294947011645671,0.008204924617511,2.06637992050673E-06,5.90328795624373E-07,0,2.72057036454498E-06,0,3.56044047578052E-08,-0.001918214404381,0.00598365465417,0.065812518329872,4,-2.41743739600031E-06,-1.29161923257802E-06,0.066384944927976,-0.001303975178283,-0.001779194433635,0.001834450771556
-1.96476667042589E-05,8.48323088575853E-06,0.00052764051361,1.23412013941504E-09,-5.32853372536835E-10,-3.31424487853837E-08,2.30068950002327E-10,1.4309843088256E-08,8.90044475454488E-07,-0.000257848063484,0.000595961988438,0.008075880818069,0.066609370719866,-0.293371469673007,0.008208667260204,2.11936207961116E-06,5.52702033473906E-07,0,2.65555877376755E-06,0,3.53959990206931E-08,-0.001926996915916,0.005987446660193,0.06604837375105,4,-2.81391031098291E-06,-1.50528762021652E-06,0.066553444109271,0.000741579246278,0.001162172059466,0.002062092913704
1.39470084832283E-05,-5.9507606238185E-06,-0.000373929738998,1.25281662821664E-09,-5.34538302510157E-10,-3.35889431823944E-08,2.28071034280575E-10,1.43313680922574E-08,9.00544478099619E-07,-0.000258935266174,0.000596425903495,0.008105029352009,0.067587063391323,-0.290790981429228,0.008279397928114,2.17309502659191E-06,5.9846433941857E-07,0,2.82399946627265E-06,0,3.73741038117714E-08,-0.00193584570339,0.005991222165367,0.066285616304013,4,-3.43175752997072E-06,-1.83889988068863E-06,0.066794838843559,0.001352421273176,0.001262628666723,0.002303028867852
2.66708666458726E-05,-1.1244789675402E-05,-0.000713879184332,1.27175736608365E-09,-5.36189759259287E-10,-3.40401804521662E-08,2.26064708619411E-10,1.43517899786616E-08,9.11128040570475E-07,-0.000259658088908,0.0005967306206,0.008124376647174,0.068207858185537,-0.289892179952603,0.008304766116696,1.99497208086541E-06,5.87714851008059E-07,0,2.87919988295471E-06,0,3.49672006905166E-08,-0.001944761130339,0.005994981027424,0.06652424887059,4,-4.07643969770606E-06,-2.18784905831269E-06,0.067025525436525,-0.007103840816569,-0.002921800222168,0.002545375603433
