noisy motion,kalman prediction,ground truth,motion noise stdev,laser noise stdev,laser range 1,laser range 2,laser range 3,laser range 4,laser range 5,laser range 6
-1.15521984774512,3.55148677657374,3.26873774095965,2,0.01,6.46338558197022,6.45798492431641,6.4505786895752,6.44956016540527,6.46533060073853,6.4621467590332
-0.344685871511005,3.75919427891576,3.94182820398363,2,0.01,6.30503797531128,6.28208732604981,6.26359510421753,6.26582479476929,6.24993515014648,6.24380493164063
-0.265481138040534,4.41708520680177,4.01930968073975,2,0.01,5.60284852981567,5.59461307525635,5.58217763900757,5.58003568649292,5.58597373962402,5.58774280548096
0.465646738900453,4.4992723226202,4.40433678758554,2,0.01,5.53847599029541,5.51556491851807,5.50500106811523,5.50395631790161,5.51645803451538,5.53514766693115
0.182627857426552,4.88196329303317,4.11134945062555,2,0.01,5.14048957824707,5.11472463607788,5.12531614303589,5.13267183303833,5.12333583831787,5.12590169906616
1.72697921027301,4.6020095462725,4.59222282891785,2,0.01,5.43452548980713,5.43190813064575,5.42092657089233,5.41730690002441,5.407066822052,5.40807867050171
2.54959790013293,5.07648490664428,4.96266678203849,2,0.01,4.95218515396118,4.92524719238281,4.92983102798462,4.9399881362915,4.94227600097656,4.93997049331665
2.46329144589058,5.44948324353834,4.84368103472172,2,0.01,4.56905126571655,4.54823160171509,4.5639820098877,4.57181119918823,4.55543518066406,4.56495523452759
2.66715179254842,5.31632395363155,5.42157077014002,2,0.01,4.71854782104492,4.68793392181397,4.69545936584473,4.690673828125,4.68535280227661,4.69364500045776
2.70404053703678,5.89211946874469,5.48300069851583,2,0.01,4.14420557022095,4.12728881835938,4.11975717544556,4.11110639572144,4.10519933700562,4.10593557357788
3.49164547018626,5.97102426065329,5.86736080899896,2,0.01,4.05224990844727,4.03250169754028,4.03609418869019,4.0334038734436,4.07204389572144,4.0362982749939
3.38837772483323,6.33445313355672,5.77832687326571,2,0.01,3.67857885360718,3.67846894264221,3.66322493553162,3.6653151512146,3.67232155799866,3.66546535491943
4.87967245721944,6.2683086802145,6.38079583170271,2,0.01,3.77120232582092,3.74033904075623,3.75316476821899,3.73943996429443,3.76166033744812,3.75570511817932
7.10683622643915,6.88091044245813,7.64219464423937,2,0.01,3.15373039245605,3.15059590339661,3.15311789512634,3.15135288238525,3.15287303924561,3.12712240219116
5.93800812641766,8.13013904639127,7.30896841306434,2,0.01,1.90199565887451,1.8867552280426,1.89624655246735,1.85783052444458,1.90026831626892,1.88523983955383
6.16222520736476,7.79468442442496,7.53241556655819,2,0.01,2.23268127441406,2.20810008049011,2.22695136070251,2.20923614501953,2.22745800018311,2.22598338127136
9.63663467726032,8.02915218479459,8.2132725961274,2,0.01,2.00532245635986,1.98696732521057,1.99881017208099,2.0016713142395,2.01362109184265,2.01335620880127
0.614379687015781,8.64549983750032,0.0,2,0.01,1.33001232147217,1.31673121452332,1.30654573440552,1.32059192657471,1.31367921829224,1.31572771072388
5.14752007611049,0.535338545283198,0.981244965451785,2,0.01,9.54818153381348,9.54299449920654,9.544264793396,9.52756500244141,9.53688144683838,9.54624462127686
4.7541998798713,1.45291438516232,1.85464245769499,2,0.01,8.55226612091064,8.54056358337402,8.5594539642334,8.55715847015381,8.56092357635498,8.56023502349854
5.92800475447812,2.33627578893894,2.60604620213252,2,0.01,7.68430137634277,7.68126630783081,7.67529392242432,7.66516923904419,7.66992521286011,7.67549085617065
6.02005869141448,3.07377790980129,2.69693979020849,2,0.01,6.94082403182983,6.93322801589966,6.93218326568604,6.92712545394897,6.92335367202759,6.92301082611084
6.14234369712616,3.19897063317912,2.78256490794892,2,0.01,6.85986709594727,6.84160327911377,6.82467460632324,6.80101490020752,6.83108043670654,6.84409618377686
6.999584069729,3.27119718346806,3.29285140086037,2,0.01,6.74593734741211,6.75494813919067,6.76009750366211,6.73991250991821,6.73270845413208,6.73567581176758
7.21369921775224,3.76416278669828,3.62968497610022,2,0.01,6.26781463623047,6.24869871139526,6.23883533477783,6.24700975418091,6.23444986343384,6.24038076400757
